Entity,Code,Schizophrenia_percent,Depression_percent,Anxiety_percent,Bipolar_percent,Eating_percent,Total_disorder_percent,GDP_per_capita,Population_density,Political_regime_score,Annual_sunshine,CO2_emissions
Morocco,MAR,0.24282132,5.07854,4.7997293,0.745084,0.18633235,11.05250697,8217.599,81.34530137,0,3155.466666666667,1.955308017
Mozambique,MOZ,0.20393638,4.992671,4.035234,0.5785625,0.0839527,9.894356579999998,1285.1848,38.51267199,1,2838.0,0.2486396586
Namibia,NAM,0.22256449,3.6164615,3.49189,0.5531963,0.16063276,8.04474505,10009.578,2.971788799,2,3737.5,1.764171657
Netherlands,NLD,0.36796945,3.5344012,6.7548013,0.78764594,0.38367063,11.82848852,56784.04,515.1432729,3,1662.0,8.41396928
New Zealand,NZL,0.3886144,3.7238638,7.263469,1.5064018,0.6033723,13.485721299999998,43110.37,18.91003,3,1953.925,6.830053021
Nicaragua,NIC,0.27072757,3.2548654,4.3657975,0.8515433,0.16589764,8.908831410000001,5348.9873,55.37580189,1,2759.9,0.7701018199
Niger,NER,0.20768712,4.235215,2.9678462,0.54284483,0.078765206,8.032358356,1217.446,18.5074548,2,3203.2,0.09210057606
Nigeria,NGA,0.22260755,3.8173978,2.9917774,0.5542446,0.12942946,7.71545681,5076.368,223.222649,2,2669.08,0.5880052075
North Macedonia,MKD,0.28765607,2.570906,3.5915322,0.5418609,0.14246428,7.134419449999999,16776.076,82.34314036,2,2339.0,3.831137375
Norway,NOR,0.28272113,3.2382026,6.7358413,0.8286233,0.47473136,11.56011969,64385.008,14.6479975,3,1373.3333333333333,7.042320943
Oman,OMN,0.2642391,3.962998,4.61154,0.68607295,0.26507118,9.78992123,33814.113,14.8716252,0,3493.3,16.45635843
Pakistan,PAK,0.27888608,3.9425256,3.474194,0.38789725,0.12147353,8.20497646,5157.5464,289.6602325,1,3108.5166666666664,0.8244596523
Panama,PAN,0.28811285,2.9369144,3.6566825,0.8495454,0.28251824,8.01377339,31543.605,57.05758965,2,1743.5,3.095050433
Papua New Guinea,PNG,0.27093467,3.072686,3.995107,0.263657,0.08146171,7.68384638,3947.8655,21.0716027,1,2463.0,0.7825528903
Paraguay,PRY,0.2778201,3.6945765,6.304892,1.0898001,0.21759573,11.58468443,13609.723,16.43600805,2,2803.0,1.240668873
Peru,PER,0.27953792,2.2116694,5.551791,0.91938907,0.29595372,9.258341109999998,12735.168,25.64442266,2,2281.65,1.735641775
Philippines,PHL,0.29213402,2.779254,4.563437,0.3369464,0.10456553,8.07633695,8731.861,370.1941979,1,2103.1,1.32152779
Poland,POL,0.2945265,2.2779574,3.082497,0.5506919,0.18609495,6.3917677500000005,33159.75,124.0255954,2,1571.0,7.768855783
Portugal,PRT,0.26907453,4.3940663,8.02761,0.87302935,0.42184258,13.985622759999998,34945.66,112.2885828,3,2770.0,4.332448043
Romania,ROU,0.28902072,2.6501622,3.2856169,0.6372142,0.16204906,7.0240630799999995,30006.336,84.19527121,2,2115.0,3.817062957
Saudi Arabia,SAU,0.2628555,4.216069,4.5544286,0.7622446,0.27899438,10.07459208,44954.992,16.66629235,0,3236.5,14.70301665
Senegal,SEN,0.21622801,4.0294,2.8934357,0.55274326,0.10354699,7.79535396,3430.484,83.10798837,2,3146.0,0.7685749839
Serbia,SRB,0.28505,2.814907,3.33539,0.540287,0.14359924,7.119233240000001,18310.08,79.41041619,1,2055.0,6.627579916
Singapore,SGP,0.3191951,2.0081315,2.7080863,0.7197487,0.453674,6.208835600000001,98283.31,7965.878492,1,2022.4,7.918410385
Slovenia,SVN,0.2995073,3.1152232,3.3891728,0.5467665,0.1849328,7.535602600000001,39034.234,103.7119346,3,1974.0,6.543333724
Solomon Islands,SLB,0.25524026,3.0039446,4.0285625,0.2548458,0.0693035,7.611896659999999,2616.863,24.11550554,2,2330.0,0.4515602384
Somalia,SOM,0.18841599,4.84665,3.2728631,0.5812081,0.045336246,8.934473436,1138.2859,25.47470271,0,3103.0,0.04102920288
South Africa,ZAF,0.22481367,4.298678,3.786144,0.5569932,0.16455814,9.03118701,13852.206,47.88354945,2,3141.316666666667,7.688907623
Spain,ESP,0.2656171,4.704455,4.8611727,0.92482716,0.59025174,11.3463237,40760.31,94.3508089,3,2800.2,5.131798801
Sudan,SDN,0.23268405,4.4230967,4.745971,0.73181224,0.14551556,10.27907955,4133.1304,23.14351874,0,3559.55,0.5119229365
Sweden,SWE,0.27025598,4.116486,4.795127,0.97393054,0.51417124,10.66997076,52850.57,25.23766548,3,1782.5,3.401593966
Switzerland,CHE,0.2799828,3.705447,6.79061,0.9417426,0.4910716,12.208854,70857.086,217.0427817,3,1932.75,4.358609865
Tanzania,TZA,0.21327442,4.651242,3.8125863,0.59105045,0.10528517,9.373438340000002,2577.6658,67.59153195,1,3032.85,0.249877327
Thailand,THA,0.30105522,2.847038,3.399738,0.32977024,0.13236374,7.0099652,18003.672,139.5755701,0,2175.025,3.849043757
Togo,TGO,0.2087059,4.5008154,3.592497,0.5395201,0.08961096,8.931149360000001,2080.5242,151.5553227,1,2579.95,0.2962843806
Tunisia,TUN,0.2524584,5.049405,5.164141,0.787781,0.20487007,11.45865547,11100.82,77.55737642,2,3049.95,2.576495226
Uganda,UGA,0.20794602,6.5845194,4.080157,0.5818194,0.09564634,11.55008816,2250.015,214.1885099,1,2304.0,0.1383731619
Ukraine,UKR,0.27143335,3.8973033,3.133128,0.5213342,0.121123455,7.944322305,12804.955,76.60718502,1,1955.0,3.933652536
United Kingdom,GBR,0.24625693,4.0975676,4.4602027,1.0944765,0.4250394,10.32354313,47362.266,276.2630802,3,1530.0,5.175842473
United States,USA,0.43364868,4.375998,5.6977477,0.6012978,0.42435044,11.53304262,62478.254,35.89317567,3,2827.6185185185186,14.67338071
Uruguay,URY,0.3134878,2.840908,5.1539445,0.9843416,0.3535729,9.6462548,23256.598,19.58866987,3,2481.4,1.985381557
Uzbekistan,UZB,0.2701455,3.164448,2.0256548,0.5113078,0.11560703,6.0871631299999995,7348.147,76.22283256,1,2823.9,3.504662697
Zambia,ZMB,0.21286875,4.2194896,3.9692068,0.5744539,0.11466904,9.09068809,3372.359,24.72521422,1,2965.4666666666667,0.4143363635
Zimbabwe,ZWE,0.20248154,3.3954756,3.1370168,0.5385804,0.09829536,7.371849699999999,2203.3967,39.69137392,1,3065.4,0.6633383281
